,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
148,Seychelles,50665,-1.0,172,-1.0,50440,-1.0,53,-1,509575.0,1730.0,-1,-1,99426,Africa
149,Gabon,48981,-1.0,306,-1.0,48674,-1.0,1,-1,21008.0,131.0,1621909,695641,2331533,Africa
150,Andorra,47850,-1.0,165,-1.0,47563,-1.0,122,14,617714.0,2130.0,249838,3225256,77463,Europe
151,Papua New Guinea,46750,-1.0,670,-1.0,43982,-1.0,2098,7,5031.0,72.0,249149,26813,9292169,Australia/Oceania
152,Curaçao,45986,-1.0,295,-1.0,44720,-1.0,971,3,277812.0,1782.0,496693,3000640,165529,North America
153,Aruba,43993,-1.0,236,-1.0,42438,-1.0,1319,2,408823.0,2193.0,177885,1653068,107609,North America
154,Tanzania,42664,-1.0,846,-1.0,0,0.0,0,7,674.0,13.0,-1,-1,63298550,Africa
155,Mayotte,42002,-1.0,188,-1.0,0,0.0,0,-1,146727.0,657.0,176919,618038,286259,Africa
156,Mauritius,41662,-1.0,1043,-1.0,39967,-1.0,652,-1,32683.0,818.0,358675,281374,1274727,Africa
157,Togo,39356,1.0,290,-1.0,39064,3.0,2,-1,4534.0,33.0,807108,92976,8680837,Africa
158,Guinea,38240,-1.0,467,-1.0,37757,-1.0,16,8,2758.0,34.0,660107,47607,13865691,Africa
159,Isle of Man,38008,-1.0,116,-1.0,0,0.0,0,-1,443335.0,1353.0,150753,1758422,85732,Europe
160,Bahamas,37491,-1.0,833,-1.0,36366,-1.0,292,1,93607.0,2080.0,257839,643767,400516,North America
161,Lesotho,34790,-1.0,723,-1.0,25980,-1.0,8087,-1,15990.0,332.0,431221,198199,2175699,Africa
